PRE2,60,D12,Baby,Gt,E.GTR
PRE2,61,D13,TouchWah,Gt,E.GTR
PRE2,62,D14,Mega Clean,Gt,E.GTR
PRE2,63,D15,OverDriven,Gt,E.GTR
PRE2,64,D16,TexBoogie,Gt,E.GTR
PRE2,65,E01,DynamicAmp,Gt,E.GTR
PRE2,66,E02,Drive,Gt,E.GTR
PRE2,67,E03,SnakeFingr,Gt,E.GTR
PRE2,68,E04,Feedbacker,Gt,E.GTR
PRE2,69,E05,KilrWhammy,Gt,E.GTR
PRE2,70,E06,Voodooman,Gt,E.GTR
PRE2,71,E07,CrunchyGtr,Gt,E.GTR
PRE2,72,E08,SmallAmp,Gt,E.GTR
PRE2,73,E09,LatinLover,Gt,E.GTR
PRE2,74,E10,Still Blue,Gt,E.GTR
PRE2,75,E11,59 Combo,Gt,E.GTR
PRE2,76,E12,BlueLead,Gt,E.GTR
PRE2,77,E13,Chugga,Gt,E.GTR
PRE2,78,E14,Metal Mute,Gt,E.GTR
PRE2,79,E15,OverTheTop,Gt,E.GTR
PRE2,80,E16,Beater,Gt,E.GTR
PRE2,81,F01,Mega OvrDv,Gt,E.GTR
PRE2,82,F02,Mega Dist,Gt,E.GTR
PRE2,83,F03,Upright,Ba,A.BASS
PRE2,84,F04,Groovin'Bs,Ba,A.BASS
PRE2,85,F05,VeloGrowl,Ba,A.BASS
PRE2,86,F06,Mega Acous,Ba,A.BASS
PRE2,87,F07,FingerPBs,Ba,E.BASS
PRE2,88,F08,PrecFW,Ba,E.BASS
PRE2,89,F09,RoundWound,Ba,E.BASS
PRE2,90,F10,ActiveP,Ba,E.BASS
PRE2,91,F11,FretBuzzy,Ba,E.BASS
PRE2,92,F12,3 Sixty Bs,Ba,E.BASS
PRE2,93,F13,S-VeeTee,Ba,E.BASS
PRE2,94,F14,GnarlyBs,Ba,E.BASS
PRE2,95,F15,Reggae,Ba,E.BASS
PRE2,96,F16,BaCement,Ba,E.BASS
PRE2,97,G01,MidRngFngr,Ba,E.BASS
PRE2,98,G02,HybridBs1,Ba,E.BASS
PRE2,99,G03,HybridBs2,Ba,E.BASS
PRE2,100,G04,PrecAmped,Ba,E.BASS
PRE2,101,G05,FingBsAmp,Ba,E.BASS
PRE2,102,G06,PBasFngDst,Ba,E.BASS
PRE2,103,G07,FuzzBass,Ba,E.BASS
PRE2,104,G08,MegaFngHrm,Ba,E.BASS
PRE2,105,G09,Velo Bass,Ba,E.BASS
